9600
6
(-10, -10, 0.913,) 1, 1, 0.274,
(-9.5, -10, 0.123,) 0.95, 1, 0.1,
(-10, -9.5, 1.06,) 1, 0.95, 0.317,
(-9.5, -10, 0.123,) 0.95, 1, 0.1,
(-10, -9.5, 1.06,) 1, 0.95, 0.317,
(-9.5, -9.5, 0.142,) 0.95, 0.95, 0.1,
(-10, -9.5, 1.06,) 1, 0.95, 0.317,
(-9.5, -9.5, 0.142,) 0.95, 0.95, 0.1,
(-10, -9, 0.942,) 1, 0.9, 0.283,
(-9.5, -9.5, 0.142,) 0.95, 0.95, 0.1,
(-10, -9, 0.942,) 1, 0.9, 0.283,
(-9.5, -9, 0.127,) 0.95, 0.9, 0.1,
(-10, -9, 0.942,) 1, 0.9, 0.283,
(-9.5, -9, 0.127,) 0.95, 0.9, 0.1,
(-10, -8.5, 0.606,) 1, 0.85, 0.182,
(-9.5, -9, 0.127,) 0.95, 0.9, 0.1,
(-10, -8.5, 0.606,) 1, 0.85, 0.182,
(-9.5, -8.5, 0.0814,) 0.95, 0.85, 0.1,
(-10, -8.5, 0.606,) 1, 0.85, 0.182,
(-9.5, -8.5, 0.0814,) 0.95, 0.85, 0.1,
(-10, -8, 0.142,) 1, 0.8, 0.1,
(-9.5, -8.5, 0.0814,) 0.95, 0.85, 0.1,
(-10, -8, 0.142,) 1, 0.8, 0.1,
(-9.5, -8, 0.0191,) 0.95, 0.8, 0.1,
(-10, -8, 0.142,) 1, 0.8, 0.1,
(-9.5, -8, 0.0191,) 0.95, 0.8, 0.1,
(-10, -7.5, -0.33,) 1, 0.75, 0.1,
(-9.5, -8, 0.0191,) 0.95, 0.8, 0.1,
(-10, -7.5, -0.33,) 1, 0.75, 0.1,
(-9.5, -7.5, -0.0443,) 0.95, 0.75, 0.1,
(-10, -7.5, -0.33,) 1, 0.75, 0.1,
(-9.5, -7.5, -0.0443,) 0.95, 0.75, 0.1,
(-10, -7, -0.697,) 1, 0.7, 0.209,
(-9.5, -7.5, -0.0443,) 0.95, 0.75, 0.1,
(-10, -7, -0.697,) 1, 0.7, 0.209,
(-9.5, -7, -0.0935,) 0.95, 0.7, 0.1,
(-10, -7, -0.697,) 1, 0.7, 0.209,
(-9.5, -7, -0.0935,) 0.95, 0.7, 0.1,
(-10, -6.5, -0.877,) 1, 0.65, 0.263,
(-9.5, -7, -0.0935,) 0.95, 0.7, 0.1,
(-10, -6.5, -0.877,) 1, 0.65, 0.263,
(-9.5, -6.5, -0.117,) 0.95, 0.65, 0.1,
(-10, -6.5, -0.877,) 1, 0.65, 0.263,
(-9.5, -6.5, -0.117,) 0.95, 0.65, 0.1,
(-10, -6, -0.836,) 1, 0.6, 0.251,
(-9.5, -6.5, -0.117,) 0.95, 0.65, 0.1,
(-10, -6, -0.836,) 1, 0.6, 0.251,
(-9.5, -6, -0.112,) 0.95, 0.6, 0.1,
